ct_pickup,n_rides,avg_fare_amount,avg_trip_distance,avg_trip_time_in_secs,total_passengers,period_id
1015801,11,14.409090909090908,3.3681818181818177,1024.0,16,1_38_
1015802,3,8.666666666666666,1.8533333333333335,560.0,3,1_38_
1015900,18,8.666666666666666,1.5466666666666666,594.6111111111111,34,1_38_
1016001,11,8.318181818181818,1.6009090909090908,545.4545454545455,18,1_38_
1016002,5,10.5,2.202,727.8,13,1_38_
1016100,7,10.142857142857142,1.8900000000000001,736.4285714285714,12,1_38_
1016300,16,9.53125,1.8125,658.75,28,1_38_
1016500,14,9.428571428571429,1.7864285714285715,660.4285714285714,23,1_38_
1016600,3,16.5,4.433333333333334,1153.3333333333333,3,1_38_
1016700,14,9.464285714285714,1.8842857142857141,620.1428571428571,23,1_38_
1016800,12,9.125,1.7991666666666666,634.8333333333334,22,1_38_
1016900,10,7.2,1.385,407.8,17,1_38_
1017000,3,8.0,1.8466666666666667,453.0,4,1_38_
1017100,10,9.9,1.919,671.4,22,1_38_
1017200,1,5.0,1.0,253.0,1,1_38_
1017300,11,11.772727272727273,2.362727272727273,860.0909090909091,19,1_38_
1017401,2,17.75,3.215,1573.0,2,1_38_
1017402,1,5.5,0.93,300.0,5,1_38_
1017500,14,9.071428571428571,1.7671428571428571,594.3571428571429,23,1_38_
1017700,5,8.1,1.502,527.0,5,1_38_
1017900,12,9.166666666666666,1.7225000000000001,623.1666666666666,15,1_38_
1018100,9,11.61111111111111,2.5,781.1111111111111,15,1_38_
1018300,12,7.833333333333333,1.3225,480.1666666666667,22,1_38_
1018400,1,10.0,2.1,674.0,1,1_38_
1018500,3,10.0,2.1633333333333336,661.6666666666666,8,1_38_
1018700,8,7.5625,1.4975,428.25,9,1_38_
1018800,2,6.75,1.405,360.0,6,1_38_
1018900,3,7.833333333333333,1.6066666666666665,465.6666666666667,6,1_38_
1019100,8,5.8125,0.97125,271.375,10,1_38_
1019300,7,8.928571428571429,1.747142857142857,602.8571428571429,17,1_38_
1019500,11,11.636363636363637,2.6045454545454545,753.5454545454545,16,1_38_
1019701,1,17.5,4.56,1200.0,1,1_38_
1019702,1,9.0,2.24,540.0,1,1_38_
1019800,2,14.75,3.585,1030.5,6,1_38_
1019900,8,7.4375,1.42375,405.875,18,1_38_
1020101,1,7.5,1.7,360.0,2,1_38_
1020300,9,9.666666666666666,2.01,629.4444444444445,20,1_38_
1020500,4,13.375,3.09,884.25,4,1_38_
1020701,1,9.0,2.19,540.0,1,1_38_
1021100,7,12.714285714285714,2.795714285714286,868.4285714285714,8,1_38_
1021200,1,5.5,1.08,300.0,1,1_38_
1021600,1,16.5,3.5,1233.0,1,1_38_
1021800,2,7.0,1.2149999999999999,458.0,6,1_38_
1021900,2,5.75,0.81,301.0,10,1_38_
1022400,1,13.5,3.2,946.0,1,1_38_
1022600,1,16.0,3.86,1080.0,1,1_38_
1031703,18,9.25,1.8994444444444443,575.8888888888889,30,1_38_
