pickup_time,rides_pooled_fraction,vehicle_number_reduction,vehicle_miles_reduction,vehicle_time_reduction,pooled_passenger_fraction,avg_fare_amount_pooled,avg_fare_amount_rides,all_rides,pooled_rides,unpooled_rides,pooled_vans
2013-06-04 17:00,0.1443411700382723,0.8381629305631493,0.811376846921433,0.8115030838675121,0.3956953642384106,8.672411830893974,10.155390547613104,1829,560,1269,264
2013-06-04 17:30,0.1448493027440396,0.8412055780476833,0.8091861154371299,0.8221903325486706,0.3724155980109919,9.068108945232037,10.621131610531963,2223,675,1548,322
2013-06-04 18:00,0.15885947046843177,0.8191446028513238,0.7815860132810074,0.7839396364328094,0.3834940042323066,8.538997926497926,10.511034353919563,2455,834,1621,390
2013-06-04 18:30,0.16734542761940022,0.8119215105516475,0.7769583840555833,0.7759256207168413,0.38130274832287386,8.351416038925112,10.071384031915311,2701,960,1741,452
2013-06-04 19:00,0.1705982905982906,0.8061538461538461,0.7768328056032117,0.7762658158349033,0.36525612472160357,8.30536830551847,9.649635357382365,2925,1066,1859,499
2013-06-04 19:30,0.1741649625085208,0.8033401499659168,0.7772853743806099,0.782916138112222,0.3218712514994002,8.377927480214897,9.38385926902018,2934,1088,1846,511
2013-06-04 20:00,0.1651101979828166,0.8094882330967501,0.7893548737751556,0.7927051159140156,0.34662162162162163,8.398052616508412,9.248538943058106,2677,952,1725,442
2013-06-04 20:30,0.16945288753799392,0.8168693009118541,0.7881405448069312,0.7956070673223187,0.37262012692656393,8.331081448192728,9.40479048685845,2632,928,1704,446
2013-06-04 21:00,0.1715450166728418,0.8036309744349759,0.7807490118587144,0.7916195427761324,0.34901098901098904,8.396916585778996,9.095677495448525,2699,993,1706,463
2013-06-04 21:30,0.1729472431574772,0.8092026973423245,0.7874258201096433,0.7889103888348696,0.33310931899641577,8.591213851443372,9.440540807193042,2521,917,1604,436
2013-06-04 22:00,0.16863543788187374,0.8097759674134419,0.7899451642473606,0.7946741555567415,0.2901775147928994,8.548572178646436,9.371575294221705,2455,881,1574,414
2013-06-04 22:30,0.15165441176470587,0.8327205882352942,0.8097334703216378,0.8179217949599481,0.31047619047619046,8.345529681958254,9.25370855364717,2176,694,1482,330
2013-06-04 23:00,0.16236162361623616,0.8202424881391671,0.7910871734032427,0.797794182774065,0.22838002436053592,8.28292823189882,9.438169275480345,1897,649,1248,308
2013-06-04 23:30,0.14474553866490417,0.8374091209517515,0.8144593262296902,0.8213181984637667,0.23985821189444664,8.22957239057239,9.248816918103081,1513,465,1048,219
